Seite,Zeilen,TextDissertation,SeiteFundstelle,ZeilenFundstelle,TextFundstelle,Kategorie,ImLiteraturverzeichnis,Quelle,URL,Anmerkung
017, "33-34", "Gleichwohl wird dieser historische Brückenschlag im einschlägigen wissenschaftlichen Schrifttum, soweit ersichtlich, nur ganz vereinzelt und kursorisch [vorgenommen [6] und zum Teil in seiner Berechtigung verneint [7], zum Teil eingeschränkt bejaht [8].]", 2, "10-12", "Gleichwohl wird dieser historische Brückenschlag im einschlägigen wissenschaftlichen Schrifttum, soweit ersichtlich, nur ganz vereinzelt vorgenommen und zum Teil in seiner Berechtigung verneint (Anlage 1, S. 12), zum Teil eingeschränkt bejaht (Anlage 2, S. 93).", "KomplettPlagiat", "nein", "Görlitz 2003b", "http://de.guttenplag.wikia.com/wiki/Kategorie:Görlitz%202003b", "{{Fragmentsichter|Goalgetter|+}}"
017, "101-103", "Fn 4]&#13;&#10;Mit „transatlantisch“ ist ausschließlich das Verhältnis zwischen Europa und den&#13;&#10;Vereinigten Staaten gemeint, der Begriff nimmt also nicht Bezug auf andere Staaten jenseits und diesseits des Atlantiks.", 1, "", "Mit &quot;transatlantisch&quot; ist ausschliesslich das Verhältnis zwischen Europa und den Vereinigten Staaten gemeint, der Begriff nimmt also nicht Bezug auf andere Staaten jenseits des Atlantiks.", "Verschleierung", "ja", "Haller 2003", "http://de.guttenplag.wikia.com/wiki/Kategorie:Haller%202003", "{{Fragmentsichter|Schuju|+}}"
018, "01-02", "[Gleichwohl wird dieser historische Brückenschlag im einschlägigen wissenschaftlichen Schrifttum, soweit ersichtlich, nur ganz vereinzelt und kursorisch] vorgenommen [6] und zum Teil in seiner Berechtigung verneint [7], zum Teil eingeschränkt bejaht [8].", 2, "11-13", "Gleichwohl wird dieser historische Brückenschlag im einschlägigen wissenschaftlichen Schrifttum, soweit ersichtlich, nur ganz vereinzelt vorgenommen und zum Teil in seiner Berechtigung verneint (Anlage 1, S. 12), zum Teil eingeschränkt bejaht (Anlage 2, S. 93).", "KomplettPlagiat", "nein", "Görlitz 2003b", "http://de.guttenplag.wikia.com/wiki/Kategorie:Görlitz%202003b", "{{Fragmentsichter|Goalgetter|+}}"
018, "107-109", "[7] Vgl. etwa &#039;&#039;S. Hobe&#039;&#039;, Bedingungen, Verfahren und Chancen europäischer Verfassungsgebung: Zur Arbeit des Brüsseler Verfassungskonvents, in: Europarecht, Heft 1, 2003, S. 1 ff., 12.", "2, 5", "12, 2-4", "[...](Anlage 1, S. 12)[...]&#13;&#10;1. Hobe, Stephan, Bedingungen, Verfahren und Chancen europäischer Verfassungsgebung: Zur Arbeit des Brüsseler Verfassungskonvent, in: Europarecht, Heft 1, Januar - Februar, 38. Jahrgang 2003, S. 1-17", "Verschleierung", "nein", "Görlitz 2003b", "http://de.guttenplag.wikia.com/wiki/Kategorie:Görlitz%202003b", "{{Fragmentsichter|Goalgetter|+}} Der Einschub des Originals befindet sich in an der gleichen Stelle wie Fußnote 7. Seite 5 des Orginals ist das &quot;Verzeichnis der Anlagen&quot; zu Görlitz 2003b"
018, "110-111", "[8] &#039;&#039;W. Wessels&#039;&#039;, Der Konvent: Modelle für eine innovative Integrationsmethode, in: Integration, 2/2002, S. 83 ff., 93.", "2, 5", "12, 5-6", "[...](Anlage 2, S. 93)[...]&#13;&#10;2. Wessels, Wolfgang, Der Konvent: Modelle für eine innovative Integrationsmethode, in: INTEGRATION, 25. Jg., 2/2002, S. 83-98", "Verschleierung", "nein", "Görlitz 2003b", "http://de.guttenplag.wikia.com/wiki/Kategorie:Görlitz%202003b", "{{Fragmentsichter|Goalgetter|+}} Der Einschub des Originals befindet sich in an der gleichen Stelle wie Fußnote 8. Seite 5 des Originals ist das &quot;Verzeichnis der Anlagen&quot; zu Görlitz 2003b"
020, "17-22", "Insbesondere brachten viele dieser Siedler ein in England ausgebildetes Grundverständnis der Möglichkeiten und Errungenschaften eines Rechtsstaats mit auf den neuen Kontinent. Die tiefe Verwurzelung der Freiheit in ihren „status negativus, activus und positivus“ [6] rührt bereits aus dieser Zeit. Einen hohen Stellenwert nahmen alsbald die Menschenrechte nach der &#039;&#039;Bill of Rights&#039;&#039; von 1689, die Beteiligung der wohlhabenden Bürger an Gesetzgebung und Rechtsprechung, die Traditionen [der lokalen Selbstverwaltung, das Recht auf ein Geschworenengericht und auf „habeas corpus“ bei Inhaftierung ein. [7]]", 03, "26-37", "Die geistige Ausrüstung der Siedler war vor allem das Erbe der englischen Errungenschaften des Rechtsstaats, und wenn die Gemeinschaftsordnung der heutigen Anschauung einer freien Gesellschaft auch nicht völlig entsprochen haben mochte, so brachten die Siedler doch in ihre neue Heimat bestimmte Grundvorstellungen und die ihnen entsprechenden Einrichtungen mit, die die politische Freiheit ausmachen. Insbesondere waren die Menschenrechte nach der &#039;&#039;Bill of Rights&#039;&#039; von 1688, die Traditionen der lokalen Selbstverwaltung, der Teilnahme der bemittelten Bürger an der Gesetzgebung und Rechtsprechung, das Recht auf ein Geschworenengericht und auf &#039;&#039;habeas corpus&#039;&#039; bei Inhaftierung und die Verantwortlichkeit der Behörden gegenüber den Bürgern von Anfang an tief eingewurzelt.", "Verschleierung", "ja", "Loewenstein 1959", "http://de.guttenplag.wikia.com/wiki/Kategorie:Loewenstein%201959", "Fußnote 6 verweist auf Jellinek, Currie, Radbruch und Zippelius; Fußnote 7 auf Berg und Loewenstein."
020, "103-106", "[4] Es würde freilich zu weit führen, spanische oder auch portugiesische Einﬂüsse auf die großen Entdecker wie &#039;&#039;C. Columbus&#039;&#039; oder &#039;&#039;A. Vespucci&#039;&#039; zurückzuführen. Beide sahen nie das heutige Gebiet der Vereinigten Staaten von Amerika; dies gelang wohl erst 1512 dem spanischen Governeur von Puerto Rico &#039;&#039;J.P. de Leon&#039;&#039; mit dem Betreten des heutigen Floridas.", 1, "7-21", "Daß Christoph Columbus den amerikanischen Kontinent entdeckt hat (1492), ist allgemein bekannt. Auf keiner seiner vier Reisen aber schaute er Land auf dem Gebiet, das heute die Vereinigten Staaten von Amerika umfaßt. [...] Auch sein Nachfolger Amerigo Vespucci, [...]kam nur nach den westindischen Inseln und den Küsten des heutigen Venezuela und Brasilien. [...] Das Gebiet der Verinigten Staaten wurde offenbar zum ersten Male (1512) von dem spanischen Gouverneur von Puerto Rico, Juan Ponce de Leon, in Florida betreten.", "Verschleierung", "ja", "Loewenstein 1959", "http://de.guttenplag.wikia.com/wiki/Kategorie:Loewenstein%201959", "Ponce gehört zum Nachnamen Ponce de León und ist kein zweiter Vorname."
020, "112-113", "[5] Die  erste  englische  Niederlassung  befand  sich  bemerkenswerterweise,  1577  von &#039;&#039;F. Drake&#039;&#039; begründet, in Kalifornien (New Albion).", 01, "31-32", "[...] Francis Drake begründete die erste englische Niederlassung, New Albion, überraschenderweise in Kalifornien (1577) [...]", "Verschleierung", "ja", "Loewenstein 1959", "http://de.guttenplag.wikia.com/wiki/Kategorie:Loewenstein%201959", ""
20, "114-118", "[FN 6] In Anlehnung an G. Jellinek, System der subjektiven öffentlichen Rechte, 2. Aufl. 1905, S. 81 ff.; siehe auch ders., Allgemeine Staatslehre, 3. Aufl. 1914 (Neudr. 1960), S. 418 ff.; D.P. Currie, Positive und negative Grundrechte, in: AöR 111 (1986), S. 230 ff.; G. Radbruch, Rechtsphilosophie, 3.Aufl. 1932 (Studienausg. 1999), S. 67 ff.; R. Zippelius, Allgemeine Staatslehre, 13. Aufl. 1999, S. 344 ff.", 344, "38-40", "G. Jellinek, System der subjektiven öffentlichen Rechte, 1892, (2)1905, S. 81 ff.; ders., AStL, S. 418 ff.; G. Radbruch, S. 67 ff.; [...] D. P. Currie, Positive und negative Grundrechte, AöR 111 (1986), S. 230 ff.", "KomplettPlagiat", "ja", "Zippelius 1999", "http://de.guttenplag.wikia.com/wiki/Kategorie:Zippelius%201999", "Im Text wird Loewenstein 1959 plagiiert. Die dazu passende Quellenangaben mit juristischer Würze sucht sich der Verfasser unter dem entsprechenden Stichwort aus Zippelius 1999. {{Fragmentsichter|Schuju|+}}"
021, "01-02", "[Einen hohen Stellenwert nahmen alsbald die Menschenrechte nach der Bill of Rights von 1689, die Beteiligung der wohlhabenden Bürger an Gesetzgebung und Rechtsprechung, die Traditionen] der lokalen Selbstverwaltung, das Recht auf ein Geschworenengericht und auf „habeas corpus“ bei Inhaftierung ein. [7]", 03, "32-37", "Insbesondere waren die Menschenrechte nach der Bill of Rights von 1688, die Traditionen der lokalen Selbstverwaltung, der Teilnahme der bemittelten Bürger an der Gesetzgebung und Rechtsprechung, das Recht auf ein Geschworenengericht und auf habeas corpus bei Inhaftierung und die Verantwortlichkeit der Behörden gegenüber den Bürgern von Anfang an tief eingewurzelt.", "Verschleierung", "ja", "Loewenstein 1959", "http://de.guttenplag.wikia.com/wiki/Kategorie:Loewenstein%201959", ""
21, "9-12", "Die Erschließung Nordamerikas stand im Zeichen europäischer Großmachtrivalitäten, die sich durch die Bemühungen der englischen Krone, den Vormachtanspruch gegen Spanien, die Niederlande[FN 9] und bis 1763 gegen Frankreich zu behaupten, manifestieren lassen.", 373, "", "Auch hier stand die Erschließung aber im Zeichen europ. Großmachtrivalität. England mußte seinen Vormachtanspruch gegen&#13;&#10;Spanien, die Niederlande und bis 1763 gegen Frankreich behaupten.", "VerschärftesBauernOpfer", "ja", "Berg 1992", "http://de.guttenplag.wikia.com/wiki/Kategorie:Berg%201992", "In der Fussnote 7 zum vorherigen Abschnitt, der aus Loewenstein 1959 übernommen ist, referenziert der Verfasser mit &quot;Vgl. auch&quot; den Artikel von Berg. Isoliert betrachtet, könnte dieses Fragment als Paraphrase oder Allgemeinwissen durchgehen. Jedoch zeigt sich das vorliegende Kapitel in einer Gesamtbetrachtung als wenig kunstvolle Verwebung von Plagiaten von Loewenstein 1959 mit Plagiaten des Abschnitts von Berg im Staatslexikon."
021, "15-16", "[...]  (beispielsweise wird die Zahl der Deutschen 1775 auf 200 000 geschätzt)[...]", 03, "17-18", "Die Zahl der Deutschen im Jahre 1775 wird auf 200 000 geschätzt.", "ShakeAndPaste", "ja", "Loewenstein 1959", "http://de.guttenplag.wikia.com/wiki/Kategorie:Loewenstein%201959", ""
21, "17-19", "Neben ökonomischen Verlockungen bot Nordamerika zahlreichen religiösen Dissidenten Zuflucht – Puritaner, Quäker, Hugenotten, englische Katholiken.", 373, "", "Neben ökonomischen Anreizen [...] bot Nordamerika zahlreichen religiösen Dissidenten Zuflucht (Puritaner, Quäker, Hugenotten, engl. Katholiken).", "VerschärftesBauernOpfer", "ja", "Berg 1992", "http://de.guttenplag.wikia.com/wiki/Kategorie:Berg%201992", "In der Fussnote 7 zum vorherigen Abschnitt, der aus Loewenstein 1959 übernommen ist, referenziert der Verfasser mit &quot;Vgl. auch&quot; den Artikel von Berg. Isoliert betrachtet, könnte dieses Fragment als Paraphrase oder Allgemeinwissen durchgehen. Jedoch zeigt sich das vorliegende Kapitel in einer Gesamtbetrachtung als wenig kunstvolle Verwebung von Plagiaten von Loewenstein 1959 mit Plagiaten des Abschnitts von Berg im Staatslexikon."
